ts,ms_played,track,artist,album,uri,UniqueID,track_uri
2015-10-28T22:32:36Z,0,Hotline Bling,Drake,Hotline Bling,spotify:track:6nmz4imkDcmtwMjocAzFSx,Drake:Hotline Bling,6nmz4imkDcmtwMjocAzFSx
2015-10-28T22:32:36Z,0,Hotline Bling,Drake,Hotline Bling,spotify:track:6nmz4imkDcmtwMjocAzFSx,Drake:Hotline Bling,6nmz4imkDcmtwMjocAzFSx
2015-10-28T22:37:32Z,0,Hotline Bling,Drake,Hotline Bling,spotify:track:6nmz4imkDcmtwMjocAzFSx,Drake:Hotline Bling,6nmz4imkDcmtwMjocAzFSx
2015-10-28T22:37:32Z,0,Hotline Bling,Drake,Hotline Bling,spotify:track:6nmz4imkDcmtwMjocAzFSx,Drake:Hotline Bling,6nmz4imkDcmtwMjocAzFSx
2015-10-28T22:39:35Z,0,Hotline Bling,Drake,Hotline Bling,spotify:track:6nmz4imkDcmtwMjocAzFSx,Drake:Hotline Bling,6nmz4imkDcmtwMjocAzFSx
2015-10-28T22:39:35Z,0,Hotline Bling,Drake,Hotline Bling,spotify:track:6nmz4imkDcmtwMjocAzFSx,Drake:Hotline Bling,6nmz4imkDcmtwMjocAzFSx
2015-10-28T22:41:04Z,0,Hotline Bling,Drake,Hotline Bling,spotify:track:6nmz4imkDcmtwMjocAzFSx,Drake:Hotline Bling,6nmz4imkDcmtwMjocAzFSx
2015-10-28T22:41:04Z,0,Hotline Bling,Drake,Hotline Bling,spotify:track:6nmz4imkDcmtwMjocAzFSx,Drake:Hotline Bling,6nmz4imkDcmtwMjocAzFSx
2015-10-28T22:51:44Z,0,Hotline Bling,Drake,Hotline Bling,spotify:track:6nmz4imkDcmtwMjocAzFSx,Drake:Hotline Bling,6nmz4imkDcmtwMjocAzFSx
2015-10-28T22:51:44Z,0,Hotline Bling,Drake,Hotline Bling,spotify:track:6nmz4imkDcmtwMjocAzFSx,Drake:Hotline Bling,6nmz4imkDcmtwMjocAzFSx
2015-10-28T22:56:46Z,496021,Hotline Bling,Drake,Hotline Bling,spotify:track:6nmz4imkDcmtwMjocAzFSx,Drake:Hotline Bling,6nmz4imkDcmtwMjocAzFSx
2015-10-28T22:56:47Z,928,Jumpman,Drake,What A Time To Be Alive,spotify:track:27GmP9AWRs744SzKcpJsTZ,Drake:Jumpman,27GmP9AWRs744SzKcpJsTZ
2015-10-28T22:56:48Z,0,Hotline Bling,Drake,Hotline Bling,spotify:track:6nmz4imkDcmtwMjocAzFSx,Drake:Hotline Bling,6nmz4imkDcmtwMjocAzFSx
2015-10-28T22:56:48Z,0,Hotline Bling,Drake,Hotline Bling,spotify:track:6nmz4imkDcmtwMjocAzFSx,Drake:Hotline Bling,6nmz4imkDcmtwMjocAzFSx
2015-10-28T23:08:07Z,0,Hotline Bling,Drake,Hotline Bling,spotify:track:6nmz4imkDcmtwMjocAzFSx,Drake:Hotline Bling,6nmz4imkDcmtwMjocAzFSx
2015-10-28T23:08:07Z,0,Hotline Bling,Drake,Hotline Bling,spotify:track:6nmz4imkDcmtwMjocAzFSx,Drake:Hotline Bling,6nmz4imkDcmtwMjocAzFSx
2015-10-28T23:09:23Z,0,Hotline Bling,Drake,Hotline Bling,spotify:track:6nmz4imkDcmtwMjocAzFSx,Drake:Hotline Bling,6nmz4imkDcmtwMjocAzFSx
2015-10-28T23:09:23Z,0,Hotline Bling,Drake,Hotline Bling,spotify:track:6nmz4imkDcmtwMjocAzFSx,Drake:Hotline Bling,6nmz4imkDcmtwMjocAzFSx
2015-10-28T23:12:27Z,0,Hotline Bling,Drake,Hotline Bling,spotify:track:6nmz4imkDcmtwMjocAzFSx,Drake:Hotline Bling,6nmz4imkDcmtwMjocAzFSx
2015-10-28T23:12:28Z,0,Hotline Bling,Drake,Hotline Bling,spotify:track:6nmz4imkDcmtwMjocAzFSx,Drake:Hotline Bling,6nmz4imkDcmtwMjocAzFSx
2015-10-28T23:30:33Z,0,Hotline Bling,Drake,Hotline Bling,spotify:track:6nmz4imkDcmtwMjocAzFSx,Drake:Hotline Bling,6nmz4imkDcmtwMjocAzFSx
2015-10-29T01:03:56Z,572764,Hotline Bling,Drake,Hotline Bling,spotify:track:6nmz4imkDcmtwMjocAzFSx,Drake:Hotline Bling,6nmz4imkDcmtwMjocAzFSx
2015-10-29T01:08:08Z,0,Hotline Bling,Drake,Hotline Bling,spotify:track:6nmz4imkDcmtwMjocAzFSx,Drake:Hotline Bling,6nmz4imkDcmtwMjocAzFSx
2015-10-29T01:25:38Z,0,Hotline Bling,Drake,Hotline Bling,spotify:track:6nmz4imkDcmtwMjocAzFSx,Drake:Hotline Bling,6nmz4imkDcmtwMjocAzFSx
2015-10-29T01:26:10Z,346926,Hotline Bling,Drake,Hotline Bling,spotify:track:6nmz4imkDcmtwMjocAzFSx,Drake:Hotline Bling,6nmz4imkDcmtwMjocAzFSx
2015-10-29T01:26:13Z,2438,Kanye - Don Diablo Remix,The Chainsmokers,Kanye,spotify:track:3MNGCgYMF8IAQNGLjauG5M,The Chainsmokers:Kanye - Don Diablo Remix,3MNGCgYMF8IAQNGLjauG5M
2015-10-29T01:26:37Z,0,Hotline Bling,Drake,Hotline Bling,spotify:track:6nmz4imkDcmtwMjocAzFSx,Drake:Hotline Bling,6nmz4imkDcmtwMjocAzFSx
2015-10-29T01:35:09Z,0,Hotline Bling,Drake,Hotline Bling,spotify:track:6nmz4imkDcmtwMjocAzFSx,Drake:Hotline Bling,6nmz4imkDcmtwMjocAzFSx
2015-10-29T02:54:35Z,0,Hotline Bling,Drake,Hotline Bling,spotify:track:6nmz4imkDcmtwMjocAzFSx,Drake:Hotline Bling,6nmz4imkDcmtwMjocAzFSx
2015-10-29T11:41:01Z,0,Hotline Bling,Drake,Hotline Bling,spotify:track:6nmz4imkDcmtwMjocAzFSx,Drake:Hotline Bling,6nmz4imkDcmtwMjocAzFSx
2015-10-29T22:04:54Z,6130,Hotline Bling,Drake,Hotline Bling,spotify:track:6nmz4imkDcmtwMjocAzFSx,Drake:Hotline Bling,6nmz4imkDcmtwMjocAzFSx
2015-10-29T22:08:51Z,190595,Right Hand,Drake,Right Hand,spotify:track:3lSR267IJfT54p0Gfuw7mi,Drake:Right Hand,3lSR267IJfT54p0Gfuw7mi
2015-10-29T22:12:28Z,216346,Around The World,Natalie La Rose,Around The World,spotify:track:5IxXl4qLDoh16PJ5E7lnql,Natalie La Rose:Around The World,5IxXl4qLDoh16PJ5E7lnql
2015-10-29T22:12:34Z,5874,Marilyn Monroe,Nicki Minaj,Pink Friday ... Roman Reloaded,spotify:track:4VRAVd6drMjJO4AvRLrd7w,Nicki Minaj:Marilyn Monroe,4VRAVd6drMjJO4AvRLrd7w
2015-10-29T22:12:35Z,928,Four Pink Walls,Alessia Cara,Four Pink Walls,spotify:track:5cjHdvKZ0U6L4ideC87aDG,Alessia Cara:Four Pink Walls,5cjHdvKZ0U6L4ideC87aDG
2015-10-29T22:12:38Z,1068,Here,Alessia Cara,Four Pink Walls,spotify:track:7IUF0dDdzguaFUwwA9BgDu,Alessia Cara:Here,7IUF0dDdzguaFUwwA9BgDu
2015-10-30T01:25:14Z,195726,Hotline Bling,Drake,Hotline Bling,spotify:track:6nmz4imkDcmtwMjocAzFSx,Drake:Hotline Bling,6nmz4imkDcmtwMjocAzFSx
2015-10-30T12:29:24Z,0,Hotline Bling,Drake,Hotline Bling,spotify:track:6nmz4imkDcmtwMjocAzFSx,Drake:Hotline Bling,6nmz4imkDcmtwMjocAzFSx
