ts,ms_played,track,artist,album,uri,UniqueID,track_uri
2015-11-01T01:01:20Z,19922,Favorite,Nicki Minaj,The Pinkprint,spotify:track:0Rn35uVnV5Q1S1DM8NBhSr,Nicki Minaj:Favorite,0Rn35uVnV5Q1S1DM8NBhSr
2015-11-01T01:01:27Z,11842,Kiss Kiss (Canblaster Remix),Cashmere Cat,Mirror Maru (Remixes),spotify:track:3dZ3QY0R5gq9wO7621gqyK,Cashmere Cat:Kiss Kiss (Canblaster Remix),3dZ3QY0R5gq9wO7621gqyK
2015-11-01T01:04:26Z,182666,Four Door Aventador,Nicki Minaj,The Pinkprint,spotify:track:6HzZALdO9vjjQhyzWe9ns5,Nicki Minaj:Four Door Aventador,6HzZALdO9vjjQhyzWe9ns5
2015-11-01T01:08:13Z,195840,Whip It,Nicki Minaj,Pink Friday ... Roman Reloaded,spotify:track:59DuHgV4Va0Drxx8FQg8Me,Nicki Minaj:Whip It,59DuHgV4Va0Drxx8FQg8Me
2015-11-01T01:11:31Z,198066,Automatic,Nicki Minaj,Pink Friday ... Roman Reloaded,spotify:track:4HWOkaS6pRmNODWmS7EGvs,Nicki Minaj:Automatic,4HWOkaS6pRmNODWmS7EGvs
2015-11-01T01:11:50Z,19365,Paws,Cashmere Cat,Mirror Maru EP,spotify:track:1D17MLY1m8MUpbMveEljMN,Cashmere Cat:Paws,1D17MLY1m8MUpbMveEljMN
2015-11-01T01:12:35Z,40913,Runaway,Kanye West,My Beautiful Dark Twisted Fantasy,spotify:track:3DK6m7It6Pw857FcQftMds,Kanye West:Runaway,3DK6m7It6Pw857FcQftMds
2015-11-01T01:12:41Z,10913,Marilyn Monroe,Nicki Minaj,Pink Friday ... Roman Reloaded,spotify:track:4VRAVd6drMjJO4AvRLrd7w,Nicki Minaj:Marilyn Monroe,4VRAVd6drMjJO4AvRLrd7w
2015-11-01T01:49:32Z,210950,Beautiful Sinner,Nicki Minaj,Pink Friday ... Roman Reloaded,spotify:track:3C8vbwl0qSHLxvtjtSyQXo,Nicki Minaj:Beautiful Sinner,3C8vbwl0qSHLxvtjtSyQXo
2015-11-01T02:07:25Z,7190,Right By My Side,Nicki Minaj,Pink Friday ... Roman Reloaded,spotify:track:2bgW1SJqUjIkWcbxTPTIdy,Nicki Minaj:Right By My Side,2bgW1SJqUjIkWcbxTPTIdy
2015-11-01T02:15:04Z,126930,Beautiful Sinner,Nicki Minaj,Pink Friday ... Roman Reloaded,spotify:track:3C8vbwl0qSHLxvtjtSyQXo,Nicki Minaj:Beautiful Sinner,3C8vbwl0qSHLxvtjtSyQXo
2015-11-01T02:39:20Z,33360,Runaway,Kanye West,My Beautiful Dark Twisted Fantasy,spotify:track:3DK6m7It6Pw857FcQftMds,Kanye West:Runaway,3DK6m7It6Pw857FcQftMds
2015-11-01T13:25:21Z,0,,,,,,
